symbol,time,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
NFLX SEWJWLJNHZDX,2/1/2011,30.582827,30.928541,30.048541,30.447112,5534476,30.582827,24.587758,28.383117,1.897679,32.178475,2.289934,0.595999,0.272857,68.595857
NFLX SEWJWLJNHZDX,2/2/2011,30.412827,30.951398,30.295684,30.661398,4018478,30.412827,24.658575,28.752155,2.04679,32.845735,2.249749,0.564571,0.289857,66.075907
NFLX SEWJWLJNHZDX,2/3/2011,30.17997,30.524255,29.74997,29.83997,4659821,30.17997,24.784812,29.011758,2.113473,33.238703,2.203151,0.564571,0.274428,67.290993
NFLX SEWJWLJNHZDX,2/4/2011,30.212827,30.472827,29.95997,30.15997,2989243,30.212827,25.099099,29.230134,2.065517,33.361168,2.233043,0.567857,0.189428,74.985852
NFLX SEWJWLJNHZDX,2/5/2011,31.442826,31.571397,30.294255,30.432827,6245246,31.442826,25.67663,29.632441,1.977905,33.588252,2.295496,0.690856,0.146571,82.497441
NFLX SEWJWLJNHZDX,2/8/2011,31.134255,31.829968,31.125683,31.827111,3521573,31.134255,26.395842,29.905498,1.754828,33.415155,2.26028,0.663285,0.177428,78.895497
NFLX SEWJWLJNHZDX,2/9/2011,31.097112,31.19854,30.877112,31.17854,2447168,31.097112,27.249819,30.122155,1.436168,32.994492,2.235808,0.624571,0.181143,77.51773
NFLX SEWJWLJNHZDX,2/10/2011,31.772825,31.992825,31.041398,31.041398,4065317,31.772825,29.3161,30.422277,0.553089,31.528454,2.276462,0.692142,0.130571,84.129189
NFLX SEWJWLJNHZDX,2/11/2011,31.847111,32.141396,31.472826,31.567111,3051989,31.847111,29.521037,30.681338,0.58015,31.841639,2.306981,0.303,0.130571,69.884679
NFLX SEWJWLJNHZDX,2/12/2011,33.02711,33.085681,31.988539,32.028539,6530070,33.02711,29.414777,31.107842,0.846533,32.800907,2.372282,0.319285,0.130571,70.974913
NFLX SEWJWLJNHZDX,2/15/2011,35.362822,35.36425,33.514252,33.679966,10996896,35.362822,28.907786,31.881475,1.486844,34.855163,2.482251,0.552857,0.074857,88.074647
NFLX SEWJWLJNHZDX,2/16/2011,34.38568,34.949965,34.001395,34.797108,6607213,34.38568,29.08162,32.336785,1.627582,35.591949,2.416179,0.552857,0.155571,78.039927
NFLX SEWJWLJNHZDX,2/17/2011,33.961395,34.984251,33.762823,34.67568,6388178,33.961395,29.454428,32.632168,1.58887,35.809908,2.352297,0.552857,0.174714,75.986648
NFLX SEWJWLJNHZDX,2/18/2011,33.661395,34.542823,33.437109,33.695681,5580048,33.661395,29.942153,32.8193,1.438574,35.696448,2.296497,0.549571,0.204714,72.859848
NFLX SEWJWLJNHZDX,2/19/2011,33.664252,34.051395,33.055681,33.952823,4495584,33.664252,30.198539,32.972928,1.387194,35.747317,2.341453,0.426857,0.204714,67.586519
NFLX SEWJWLJNHZDX,2/23/2011,31.659968,32.771396,31.529968,32.214253,7591294,31.659968,30.085497,32.734208,1.324355,35.382919,2.26554,0.426857,0.374285,53.281027
NFLX SEWJWLJNHZDX,2/24/2011,30.162827,31.12854,29.341399,30.792826,9689105,30.162827,29.302727,32.266684,1.481979,35.230641,2.168649,0.426857,0.520285,45.067873
NFLX SEWJWLJNHZDX,2/25/2011,30.738541,30.912826,30.042827,30.357112,4419518,30.738541,28.803777,31.98884,1.592531,35.173902,2.212844,0.416857,0.520285,44.481707
NFLX SEWJWLJNHZDX,2/26/2011,30.35997,31.069969,30.151398,30.661398,4086262,30.35997,28.209794,31.692682,1.741444,35.175569,2.171981,0.409428,0.558142,42.315075
NFLX SEWJWLJNHZDX,3/1/2011,29.521399,30.615684,28.999971,30.547112,5571699,29.521399,27.344043,31.297903,1.97693,35.251763,2.116264,0.291428,0.641999,31.221304
NFLX SEWJWLJNHZDX,3/2/2011,29.314256,29.637113,28.679971,29.455685,5543238,29.314256,27.167023,30.93724,1.885108,34.707457,2.060832,0.057857,0.662714,8.029342
NFLX SEWJWLJNHZDX,3/3/2011,29.175685,29.642828,28.825685,29.285685,4639769,29.175685,27.015349,30.616957,1.800804,34.218565,2.014434,0.057857,0.578857,9.08683
NFLX SEWJWLJNHZDX,3/4/2011,29.052828,29.584256,28.625686,29.501399,4959136,29.052828,27.032857,30.33257,1.649857,33.632283,1.964843,0.057857,0.548714,9.538389
